 _ _ _ _| _ _ _ _| _ _ _*_| _ _ _12_|,D
o_o_ _ _|*_ _ _ _| _ _ _ _| _1_ _2_|,D
o_o_ _ _|*_ _ _ _| _ _ _ _| _1_2_ _|,R
o_o_ _ _|*_ _ _ _| _ _ _ _| _2_ _1_|,D
o_o_ _ _|*_ _ _ _| _ _ _ _| _2_1_ _|,D
o_o_ _ _|*_ _ _ _| _ _ _ _|1_ _ _2_|,U
o_o_ _ _|*_ _ _ _| _ _ _ _|1_ _2_ _|,D
o_o_ _ _|*_ _ _ _| _ _ _ _|1_2_ _ _|,D
o_o_ _ _|*_ _ _ _| _ _ _ _|2_ _ _1_|,D
o_o_ _ _|*_ _ _ _| _ _ _ _|2_ _1_ _|,D
o_o_ _ _|*_ _ _ _| _ _ _ _|2_1_ _ _|,D
o_o_ _ _|*_ _ _ _| _ _ _1_| _ _ _2_|,R
o_o_ _ _|*_ _ _ _| _ _ _1_| _ _2_ _|,R
o_o_ _ _|*_ _ _ _| _ _ _1_| _2_ _ _|,R
o_o_ _ _|*_ _ _ _| _ _ _1_|2_ _ _ _|,D
o_o_ _ _|*_ _ _ _| _ _ _2_| _ _ _1_|,R
o_o_ _ _|*_ _ _ _| _ _ _2_| _ _1_ _|,D
o_o_ _ _|*_ _ _ _| _ _ _2_| _1_ _ _|,D
o_o_ _ _|*_ _ _ _| _ _ _2_|1_ _ _ _|,D
o_o_ _ _|*_ _ _ _| _ _1_ _| _ _ _2_|,R
o_o_ _ _|*_ _ _ _| _ _1_ _| _ _2_ _|,R
o_o_ _ _|*_ _ _ _| _ _1_ _| _2_ _ _|,R
o_o_ _ _|*_ _ _ _| _ _1_ _|2_ _ _ _|,R
o_o_ _ _|*_ _ _ _| _ _1_2_| _ _ _ _|,R
o_o_ _ _|*_ _ _ _| _ _2_ _| _ _ _1_|,R
o_o_ _ _|*_ _ _ _| _ _2_ _| _ _1_ _|,R
o_o_ _ _|*_ _ _ _| _ _2_ _| _1_ _ _|,R
o_o_ _ _|*_ _ _ _| _ _2_ _|1_ _ _ _|,R
o_o_ _ _|*_ _ _ _| _ _2_1_| _ _ _ _|,R
o_o_ _ _|*_ _ _ _| _1_ _ _| _ _ _2_|,R
o_o_ _ _|*_ _ _ _| _1_ _ _| _ _2_ _|,R
o_o_ _ _|*_ _ _ _| _1_ _ _| _2_ _ _|,R
o_o_ _ _|*_ _ _ _| _1_ _ _|2_ _ _ _|,R
o_o_ _ _|*_ _ _ _| _1_ _2_| _ _ _ _|,R
o_o_ _ _|*_ _ _ _| _1_2_ _| _ _ _ _|,R
o_o_ _ _|*_ _ _ _| _2_ _ _| _ _ _1_|,R
o_o_ _ _|*_ _ _ _| _2_ _ _| _ _1_ _|,R
o_o_ _ _|*_ _ _ _| _2_ _ _| _1_ _ _|,R
o_o_ _ _|*_ _ _ _| _2_ _ _|1_ _ _ _|,R
o_o_ _ _|*_ _ _ _| _2_ _1_| _ _ _ _|,R
o_o_ _ _|*_ _ _ _| _2_1_ _| _ _ _ _|,R
o_o_ _ _|*_ _ _ _|1_ _ _ _| _ _ _2_|,D
o_o_ _ _|*_ _ _ _|1_ _ _ _| _ _2_ _|,D
o_o_ _ _|*_ _ _ _|1_ _ _ _| _2_ _ _|,D
o_o_ _ _|*_ _ _ _|1_ _ _ _|2_ _ _ _|,D
o_o_ _ _|*_ _ _ _|1_ _ _2_| _ _ _ _|,D
o_o_ _ _|*_ _ _ _|1_ _2_ _| _ _ _ _|,D
o_o_ _ _|*_ _ _ _|1_2_ _ _| _ _ _ _|,D
o_o_ _ _|*_ _ _ _|2_ _ _ _| _ _ _1_|,D
o_o_ _ _|*_ _ _ _|2_ _ _ _| _ _1_ _|,D
o_o_ _ _|*_ _ _ _|2_ _ _ _| _1_ _ _|,D
o_o_ _ _|*_ _ _ _|2_ _ _ _|1_ _ _ _|,D
o_o_ _ _|*_ _ _ _|2_ _ _1_| _ _ _ _|,D
o_o_ _ _|*_ _ _ _|2_ _1_ _| _ _ _ _|,D
o_o_ _ _|*_ _ _ _|2_1_ _ _| _ _ _ _|,D
o_o_ _ _|*_ _ _1_| _ _ _ _| _ _ _2_|,R
o_o_ _ _|*_ _ _1_| _ _ _ _| _ _2_ _|,R
o_o_ _ _|*_ _ _1_| _ _ _ _| _2_ _ _|,R
o_o_ _ _|*_ _ _1_| _ _ _ _|2_ _ _ _|,D
o_o_ _ _|*_ _ _1_| _ _ _2_| _ _ _ _|,R
o_o_ _ _|*_ _ _1_| _ _2_ _| _ _ _ _|,R
o_o_ _ _|*_ _ _1_| _2_ _ _| _ _ _ _|,R
o_o_ _ _|*_ _ _1_|2_ _ _ _| _ _ _ _|,D
o_o_ _ _|*_ _ _2_| _ _ _ _| _ _ _1_|,R
o_o_ _ _|*_ _ _2_| _ _ _ _| _ _1_ _|,R
o_o_ _ _|*_ _ _2_| _ _ _ _| _1_ _ _|,R
o_o_ _ _|*_ _ _2_| _ _ _ _|1_ _ _ _|,D
o_o_ _ _|*_ _ _2_| _ _ _1_| _ _ _ _|,R
o_o_ _ _|*_ _ _2_| _ _1_ _| _ _ _ _|,R
o_o_ _ _|*_ _ _2_| _1_ _ _| _ _ _ _|,R
o_o_ _ _|*_ _ _2_|1_ _ _ _| _ _ _ _|,D
o_o_ _ _|*_ _1_ _| _ _ _ _| _ _ _2_|,R
o_o_ _ _|*_ _1_ _| _ _ _ _| _ _2_ _|,R
o_o_ _ _|*_ _1_ _| _ _ _ _| _2_ _ _|,R
o_o_ _ _|*_ _1_ _| _ _ _ _|2_ _ _ _|,D
o_o_ _ _|*_ _1_ _| _ _ _2_| _ _ _ _|,R
o_o_ _ _|*_ _1_ _| _ _2_ _| _ _ _ _|,R
o_o_ _ _|*_ _1_ _| _2_ _ _| _ _ _ _|,R
o_o_ _ _|*_ _1_ _|2_ _ _ _| _ _ _ _|,D
o_o_ _ _|*_ _1_2_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|*_ _2_ _| _ _ _ _| _ _ _1_|,R
o_o_ _ _|*_ _2_ _| _ _ _ _| _ _1_ _|,R
o_o_ _ _|*_ _2_ _| _ _ _ _| _1_ _ _|,R
o_o_ _ _|*_ _2_ _| _ _ _ _|1_ _ _ _|,R
o_o_ _ _|*_ _2_ _| _ _ _1_| _ _ _ _|,R
o_o_ _ _|*_ _2_ _| _ _1_ _| _ _ _ _|,R
o_o_ _ _|*_ _2_ _| _1_ _ _| _ _ _ _|,R
o_o_ _ _|*_ _2_ _|1_ _ _ _| _ _ _ _|,D
o_o_ _ _|*_ _2_1_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|*_1_ _ _| _ _ _ _| _ _ _2_|,R
o_o_ _ _|*_1_ _ _| _ _ _ _| _ _2_ _|,D
o_o_ _ _|*_1_ _ _| _ _ _ _| _2_ _ _|,D
o_o_ _ _|*_1_ _ _| _ _ _ _|2_ _ _ _|,D
o_o_ _ _|*_1_ _ _| _ _ _2_| _ _ _ _|,R
o_o_ _ _|*_1_ _ _| _ _2_ _| _ _ _ _|,R
o_o_ _ _|*_1_ _ _| _2_ _ _| _ _ _ _|,U
o_o_ _ _|*_1_ _ _|2_ _ _ _| _ _ _ _|,D
o_o_ _ _|*_1_ _2_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|*_1_2_ _| _ _ _ _| _ _ _ _|,R
o_o_ _ _|*_2_ _ _| _ _ _ _| _ _ _1_|,D
o_o_ _ _|*_2_ _ _| _ _ _ _| _ _1_ _|,R
o_o_ _ _|*_2_ _ _| _ _ _ _| _1_ _ _|,D
o_o_ _ _|*_2_ _ _| _ _ _ _|1_ _ _ _|,R
o_o_ _ _|*_2_ _ _| _ _ _1_| _ _ _ _|,R
o_o_ _ _|*_2_ _ _| _ _1_ _| _ _ _ _|,R
o_o_ _ _|*_2_ _ _| _1_ _ _| _ _ _ _|,R
o_o_ _ _|*_2_ _ _|1_ _ _ _| _ _ _ _|,R
o_o_ _ _|*_2_ _1_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|*_2_1_ _| _ _ _ _| _ _ _ _|,R
o_o_ _ _|1_ _ _ _| _ _ _ _| _ _*_2_|,R
o_o_ _ _|1_ _ _ _| _ _ _ _| _ _2_*_|,U
o_o_ _ _|1_ _ _ _| _ _ _ _| _*_ _2_|,R
o_o_ _ _|1_ _ _ _| _ _ _ _| _*_2_ _|,U
o_o_ _ _|1_ _ _ _| _ _ _ _| _2_ _*_|,L
o_o_ _ _|1_ _ _ _| _ _ _ _| _2_*_ _|,U
o_o_ _ _|1_ _ _ _| _ _ _ _|*_ _ _2_|,R
o_o_ _ _|1_ _ _ _| _ _ _ _|*_ _2_ _|,R
o_o_ _ _|1_ _ _ _| _ _ _ _|*_2_ _ _|,U
o_o_ _ _|1_ _ _ _| _ _ _ _|2_ _ _*_|,L
o_o_ _ _|1_ _ _ _| _ _ _ _|2_ _*_ _|,U
o_o_ _ _|1_ _ _ _| _ _ _ _|2_*_ _ _|,U
o_o_ _ _|1_ _ _ _| _ _ _*_| _ _ _2_|,D
o_o_ _ _|1_ _ _ _| _ _ _*_| _ _2_ _|,L
o_o_ _ _|1_ _ _ _| _ _ _*_| _2_ _ _|,L
o_o_ _ _|1_ _ _ _| _ _ _*_|2_ _ _ _|,U
o_o_ _ _|1_ _ _ _| _ _ _2_| _ _ _*_|,L
o_o_ _ _|1_ _ _ _| _ _ _2_| _ _*_ _|,U
o_o_ _ _|1_ _ _ _| _ _ _2_| _*_ _ _|,U
o_o_ _ _|1_ _ _ _| _ _ _2_|*_ _ _ _|,U
o_o_ _ _|1_ _ _ _| _ _*_ _| _ _ _2_|,R
o_o_ _ _|1_ _ _ _| _ _*_ _| _ _2_ _|,D
o_o_ _ _|1_ _ _ _| _ _*_ _| _2_ _ _|,L
o_o_ _ _|1_ _ _ _| _ _*_ _|2_ _ _ _|,L
o_o_ _ _|1_ _ _ _| _ _*_2_| _ _ _ _|,R
o_o_ _ _|1_ _ _ _| _ _2_ _| _ _ _*_|,U
o_o_ _ _|1_ _ _ _| _ _2_ _| _ _*_ _|,L
o_o_ _ _|1_ _ _ _| _ _2_ _| _*_ _ _|,U
o_o_ _ _|1_ _ _ _| _ _2_ _|*_ _ _ _|,U
o_o_ _ _|1_ _ _ _| _ _2_*_| _ _ _ _|,U
o_o_ _ _|1_ _ _ _| _*_ _ _| _ _ _2_|,R
o_o_ _ _|1_ _ _ _| _*_ _ _| _ _2_ _|,R
o_o_ _ _|1_ _ _ _| _*_ _ _| _2_ _ _|,D
o_o_ _ _|1_ _ _ _| _*_ _ _|2_ _ _ _|,L
o_o_ _ _|1_ _ _ _| _*_ _2_| _ _ _ _|,R
o_o_ _ _|1_ _ _ _| _*_2_ _| _ _ _ _|,U
o_o_ _ _|1_ _ _ _| _2_ _ _| _ _ _*_|,L
o_o_ _ _|1_ _ _ _| _2_ _ _| _ _*_ _|,U
o_o_ _ _|1_ _ _ _| _2_ _ _| _*_ _ _|,R
o_o_ _ _|1_ _ _ _| _2_ _ _|*_ _ _ _|,U
o_o_ _ _|1_ _ _ _| _2_ _*_| _ _ _ _|,L
o_o_ _ _|1_ _ _ _| _2_*_ _| _ _ _ _|,U
o_o_ _ _|1_ _ _ _|*_ _ _ _| _ _ _2_|,R
o_o_ _ _|1_ _ _ _|*_ _ _ _| _ _2_ _|,R
o_o_ _ _|1_ _ _ _|*_ _ _ _| _2_ _ _|,R
o_o_ _ _|1_ _ _ _|*_ _ _ _|2_ _ _ _|,D
o_o_ _ _|1_ _ _ _|*_ _ _2_| _ _ _ _|,R
o_o_ _ _|1_ _ _ _|*_ _2_ _| _ _ _ _|,R
o_o_ _ _|1_ _ _ _|*_2_ _ _| _ _ _ _|,R
o_o_ _ _|1_ _ _ _|2_ _ _ _| _ _ _*_|,L
o_o_ _ _|1_ _ _ _|2_ _ _ _| _ _*_ _|,L
o_o_ _ _|1_ _ _ _|2_ _ _ _| _*_ _ _|,U
o_o_ _ _|1_ _ _ _|2_ _ _ _|*_ _ _ _|,R
o_o_ _ _|1_ _ _ _|2_ _ _*_| _ _ _ _|,L
o_o_ _ _|1_ _ _ _|2_ _*_ _| _ _ _ _|,L
o_o_ _ _|1_ _ _ _|2_*_ _ _| _ _ _ _|,U
o_o_ _ _|1_ _ _*_| _ _ _ _| _ _ _2_|,D
o_o_ _ _|1_ _ _*_| _ _ _ _| _ _2_ _|,L
o_o_ _ _|1_ _ _*_| _ _ _ _| _2_ _ _|,L
o_o_ _ _|1_ _ _*_| _ _ _ _|2_ _ _ _|,L
o_o_ _ _|1_ _ _*_| _ _ _2_| _ _ _ _|,D
o_o_ _ _|1_ _ _*_| _ _2_ _| _ _ _ _|,L
o_o_ _ _|1_ _ _*_| _2_ _ _| _ _ _ _|,L
o_o_ _ _|1_ _ _*_|2_ _ _ _| _ _ _ _|,U
o_o_ _ _|1_ _ _2_| _ _ _ _| _ _ _*_|,U
o_o_ _ _|1_ _ _2_| _ _ _ _| _ _*_ _|,U
o_o_ _ _|1_ _ _2_| _ _ _ _| _*_ _ _|,U
o_o_ _ _|1_ _ _2_| _ _ _ _|*_ _ _ _|,U
o_o_ _ _|1_ _ _2_| _ _ _*_| _ _ _ _|,L
o_o_ _ _|1_ _ _2_| _ _*_ _| _ _ _ _|,U
o_o_ _ _|1_ _ _2_| _*_ _ _| _ _ _ _|,U
o_o_ _ _|1_ _ _2_|*_ _ _ _| _ _ _ _|,R
o_o_ _ _|1_ _*_ _| _ _ _ _| _ _ _2_|,R
o_o_ _ _|1_ _*_ _| _ _ _ _| _ _2_ _|,D
o_o_ _ _|1_ _*_ _| _ _ _ _| _2_ _ _|,L
o_o_ _ _|1_ _*_ _| _ _ _ _|2_ _ _ _|,L
o_o_ _ _|1_ _*_ _| _ _ _2_| _ _ _ _|,L
o_o_ _ _|1_ _*_ _| _ _2_ _| _ _ _ _|,D
o_o_ _ _|1_ _*_ _| _2_ _ _| _ _ _ _|,L
o_o_ _ _|1_ _*_ _|2_ _ _ _| _ _ _ _|,L
o_o_ _ _|1_ _*_2_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|1_ _2_ _| _ _ _ _| _ _ _*_|,U
o_o_ _ _|1_ _2_ _| _ _ _ _| _ _*_ _|,U
o_o_ _ _|1_ _2_ _| _ _ _ _| _*_ _ _|,U
o_o_ _ _|1_ _2_ _| _ _ _ _|*_ _ _ _|,U
o_o_ _ _|1_ _2_ _| _ _ _*_| _ _ _ _|,L
o_o_ _ _|1_ _2_ _| _ _*_ _| _ _ _ _|,L
o_o_ _ _|1_ _2_ _| _*_ _ _| _ _ _ _|,U
o_o_ _ _|1_ _2_ _|*_ _ _ _| _ _ _ _|,R
o_o_ _ _|1_ _2_*_| _ _ _ _| _ _ _ _|,U
o_o_ _ _|1_*_ _ _| _ _ _ _| _ _ _2_|,D
o_o_ _ _|1_*_ _ _| _ _ _ _| _ _2_ _|,D
o_o_ _ _|1_*_ _ _| _ _ _ _| _2_ _ _|,D
o_o_ _ _|1_*_ _ _| _ _ _ _|2_ _ _ _|,U
o_o_ _ _|1_*_ _ _| _ _ _2_| _ _ _ _|,D
o_o_ _ _|1_*_ _ _| _ _2_ _| _ _ _ _|,R
o_o_ _ _|1_*_ _ _| _2_ _ _| _ _ _ _|,U
o_o_ _ _|1_*_ _ _|2_ _ _ _| _ _ _ _|,L
o_o_ _ _|1_*_ _2_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|1_*_2_ _| _ _ _ _| _ _ _ _|,U
o_o_ _ _|1_2_ _ _| _ _ _ _| _ _ _*_|,L
o_o_ _ _|1_2_ _ _| _ _ _ _| _ _*_ _|,U
o_o_ _ _|1_2_ _ _| _ _ _ _| _*_ _ _|,U
o_o_ _ _|1_2_ _ _| _ _ _ _|*_ _ _ _|,U
o_o_ _ _|1_2_ _ _| _ _ _*_| _ _ _ _|,L
o_o_ _ _|1_2_ _ _| _ _*_ _| _ _ _ _|,U
o_o_ _ _|1_2_ _ _| _*_ _ _| _ _ _ _|,R
o_o_ _ _|1_2_ _ _|*_ _ _ _| _ _ _ _|,U
o_o_ _ _|1_2_ _*_| _ _ _ _| _ _ _ _|,L
o_o_ _ _|1_2_*_ _| _ _ _ _| _ _ _ _|,L
o_o_ _ _|2_ _ _ _| _ _ _ _| _ _*_1_|,R
o_o_ _ _|2_ _ _ _| _ _ _ _| _ _1_*_|,U
o_o_ _ _|2_ _ _ _| _ _ _ _| _*_ _1_|,R
o_o_ _ _|2_ _ _ _| _ _ _ _| _*_1_ _|,R
o_o_ _ _|2_ _ _ _| _ _ _ _| _1_ _*_|,L
o_o_ _ _|2_ _ _ _| _ _ _ _| _1_*_ _|,U
o_o_ _ _|2_ _ _ _| _ _ _ _|*_ _ _1_|,R
o_o_ _ _|2_ _ _ _| _ _ _ _|*_ _1_ _|,R
o_o_ _ _|2_ _ _ _| _ _ _ _|*_1_ _ _|,U
o_o_ _ _|2_ _ _ _| _ _ _ _|1_ _ _*_|,U
o_o_ _ _|2_ _ _ _| _ _ _ _|1_ _*_ _|,L
o_o_ _ _|2_ _ _ _| _ _ _ _|1_*_ _ _|,U
o_o_ _ _|2_ _ _ _| _ _ _*_| _ _ _1_|,L
o_o_ _ _|2_ _ _ _| _ _ _*_| _ _1_ _|,L
o_o_ _ _|2_ _ _ _| _ _ _*_| _1_ _ _|,L
o_o_ _ _|2_ _ _ _| _ _ _*_|1_ _ _ _|,L
o_o_ _ _|2_ _ _ _| _ _ _1_| _ _ _*_|,U
o_o_ _ _|2_ _ _ _| _ _ _1_| _ _*_ _|,U
o_o_ _ _|2_ _ _ _| _ _ _1_| _*_ _ _|,U
o_o_ _ _|2_ _ _ _| _ _ _1_|*_ _ _ _|,U
o_o_ _ _|2_ _ _ _| _ _*_ _| _ _ _1_|,D
o_o_ _ _|2_ _ _ _| _ _*_ _| _ _1_ _|,D
o_o_ _ _|2_ _ _ _| _ _*_ _| _1_ _ _|,L
o_o_ _ _|2_ _ _ _| _ _*_ _|1_ _ _ _|,L
o_o_ _ _|2_ _ _ _| _ _*_1_| _ _ _ _|,R
o_o_ _ _|2_ _ _ _| _ _1_ _| _ _ _*_|,U
o_o_ _ _|2_ _ _ _| _ _1_ _| _ _*_ _|,L
o_o_ _ _|2_ _ _ _| _ _1_ _| _*_ _ _|,U
o_o_ _ _|2_ _ _ _| _ _1_ _|*_ _ _ _|,U
o_o_ _ _|2_ _ _ _| _ _1_*_| _ _ _ _|,U
o_o_ _ _|2_ _ _ _| _*_ _ _| _ _ _1_|,R
o_o_ _ _|2_ _ _ _| _*_ _ _| _ _1_ _|,R
o_o_ _ _|2_ _ _ _| _*_ _ _| _1_ _ _|,D
o_o_ _ _|2_ _ _ _| _*_ _ _|1_ _ _ _|,L
o_o_ _ _|2_ _ _ _| _*_ _1_| _ _ _ _|,R
o_o_ _ _|2_ _ _ _| _*_1_ _| _ _ _ _|,R
o_o_ _ _|2_ _ _ _| _1_ _ _| _ _ _*_|,L
o_o_ _ _|2_ _ _ _| _1_ _ _| _ _*_ _|,U
o_o_ _ _|2_ _ _ _| _1_ _ _| _*_ _ _|,L
o_o_ _ _|2_ _ _ _| _1_ _ _|*_ _ _ _|,U
o_o_ _ _|2_ _ _ _| _1_ _*_| _ _ _ _|,L
o_o_ _ _|2_ _ _ _| _1_*_ _| _ _ _ _|,U
o_o_ _ _|2_ _ _ _|*_ _ _ _| _ _ _1_|,R
o_o_ _ _|2_ _ _ _|*_ _ _ _| _ _1_ _|,R
o_o_ _ _|2_ _ _ _|*_ _ _ _| _1_ _ _|,R
o_o_ _ _|2_ _ _ _|*_ _ _ _|1_ _ _ _|,D
o_o_ _ _|2_ _ _ _|*_ _ _1_| _ _ _ _|,R
o_o_ _ _|2_ _ _ _|*_ _1_ _| _ _ _ _|,R
o_o_ _ _|2_ _ _ _|*_1_ _ _| _ _ _ _|,R
o_o_ _ _|2_ _ _ _|1_ _ _ _| _ _ _*_|,L
o_o_ _ _|2_ _ _ _|1_ _ _ _| _ _*_ _|,L
o_o_ _ _|2_ _ _ _|1_ _ _ _| _*_ _ _|,U
o_o_ _ _|2_ _ _ _|1_ _ _ _|*_ _ _ _|,R
o_o_ _ _|2_ _ _ _|1_ _ _*_| _ _ _ _|,L
o_o_ _ _|2_ _ _ _|1_ _*_ _| _ _ _ _|,L
o_o_ _ _|2_ _ _ _|1_*_ _ _| _ _ _ _|,U
o_o_ _ _|2_ _ _*_| _ _ _ _| _ _ _1_|,D
o_o_ _ _|2_ _ _*_| _ _ _ _| _ _1_ _|,L
o_o_ _ _|2_ _ _*_| _ _ _ _| _1_ _ _|,D
o_o_ _ _|2_ _ _*_| _ _ _ _|1_ _ _ _|,L
o_o_ _ _|2_ _ _*_| _ _ _1_| _ _ _ _|,D
o_o_ _ _|2_ _ _*_| _ _1_ _| _ _ _ _|,L
o_o_ _ _|2_ _ _*_| _1_ _ _| _ _ _ _|,L
o_o_ _ _|2_ _ _*_|1_ _ _ _| _ _ _ _|,L
o_o_ _ _|2_ _ _1_| _ _ _ _| _ _ _*_|,U
o_o_ _ _|2_ _ _1_| _ _ _ _| _ _*_ _|,U
o_o_ _ _|2_ _ _1_| _ _ _ _| _*_ _ _|,U
o_o_ _ _|2_ _ _1_| _ _ _ _|*_ _ _ _|,U
o_o_ _ _|2_ _ _1_| _ _ _*_| _ _ _ _|,L
o_o_ _ _|2_ _ _1_| _ _*_ _| _ _ _ _|,U
o_o_ _ _|2_ _ _1_| _*_ _ _| _ _ _ _|,U
o_o_ _ _|2_ _ _1_|*_ _ _ _| _ _ _ _|,R
o_o_ _ _|2_ _*_ _| _ _ _ _| _ _ _1_|,D
o_o_ _ _|2_ _*_ _| _ _ _ _| _ _1_ _|,D
o_o_ _ _|2_ _*_ _| _ _ _ _| _1_ _ _|,L
o_o_ _ _|2_ _*_ _| _ _ _ _|1_ _ _ _|,L
o_o_ _ _|2_ _*_ _| _ _ _1_| _ _ _ _|,D
o_o_ _ _|2_ _*_ _| _ _1_ _| _ _ _ _|,D
o_o_ _ _|2_ _*_ _| _1_ _ _| _ _ _ _|,L
o_o_ _ _|2_ _*_ _|1_ _ _ _| _ _ _ _|,L
o_o_ _ _|2_ _*_1_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|2_ _1_ _| _ _ _ _| _ _ _*_|,U
o_o_ _ _|2_ _1_ _| _ _ _ _| _ _*_ _|,U
o_o_ _ _|2_ _1_ _| _ _ _ _| _*_ _ _|,U
o_o_ _ _|2_ _1_ _| _ _ _ _|*_ _ _ _|,U
o_o_ _ _|2_ _1_ _| _ _ _*_| _ _ _ _|,L
o_o_ _ _|2_ _1_ _| _ _*_ _| _ _ _ _|,L
o_o_ _ _|2_ _1_ _| _*_ _ _| _ _ _ _|,U
o_o_ _ _|2_ _1_ _|*_ _ _ _| _ _ _ _|,R
o_o_ _ _|2_ _1_*_| _ _ _ _| _ _ _ _|,U
o_o_ _ _|2_*_ _ _| _ _ _ _| _ _ _1_|,D
o_o_ _ _|2_*_ _ _| _ _ _ _| _ _1_ _|,D
o_o_ _ _|2_*_ _ _| _ _ _ _| _1_ _ _|,U
o_o_ _ _|2_*_ _ _| _ _ _ _|1_ _ _ _|,D
o_o_ _ _|2_*_ _ _| _ _ _1_| _ _ _ _|,R
o_o_ _ _|2_*_ _ _| _ _1_ _| _ _ _ _|,R
o_o_ _ _|2_*_ _ _| _1_ _ _| _ _ _ _|,D
o_o_ _ _|2_*_ _ _|1_ _ _ _| _ _ _ _|,U
o_o_ _ _|2_*_ _1_| _ _ _ _| _ _ _ _|,R
o_o_ _ _|2_*_1_ _| _ _ _ _| _ _ _ _|,R
o_o_ _ _|2_1_ _ _| _ _ _ _| _ _ _*_|,L
o_o_ _ _|2_1_ _ _| _ _ _ _| _ _*_ _|,U
o_o_ _ _|2_1_ _ _| _ _ _ _| _*_ _ _|,U
o_o_ _ _|2_1_ _ _| _ _ _ _|*_ _ _ _|,U
o_o_ _ _|2_1_ _ _| _ _ _*_| _ _ _ _|,L
o_o_ _ _|2_1_ _ _| _ _*_ _| _ _ _ _|,U
o_o_ _ _|2_1_ _ _| _*_ _ _| _ _ _ _|,R
o_o_ _ _|2_1_ _ _|*_ _ _ _| _ _ _ _|,R
o_o_ _ _|2_1_ _*_| _ _ _ _| _ _ _ _|,L
o_o_ _ _|2_1_*_ _| _ _ _ _| _ _ _ _|,U
o_o_ _*_| _ _ _ _| _ _ _ _| _ _1_2_|,L
o_o_ _*_| _ _ _ _| _ _ _ _| _ _2_1_|,D
o_o_ _*_| _ _ _ _| _ _ _ _| _1_ _2_|,D
o_o_ _*_| _ _ _ _| _ _ _ _| _1_2_ _|,D
o_o_ _*_| _ _ _ _| _ _ _ _| _2_ _1_|,D
o_o_ _*_| _ _ _ _| _ _ _ _| _2_1_ _|,D
o_o_ _*_| _ _ _ _| _ _ _ _|1_ _ _2_|,L
o_o_ _*_| _ _ _ _| _ _ _ _|1_ _2_ _|,L
o_o_ _*_| _ _ _ _| _ _ _ _|1_2_ _ _|,D
o_o_ _*_| _ _ _ _| _ _ _ _|2_ _ _1_|,L
o_o_ _*_| _ _ _ _| _ _ _ _|2_ _1_ _|,D
o_o_ _*_| _ _ _ _| _ _ _ _|2_1_ _ _|,D
o_o_ _*_| _ _ _ _| _ _ _1_| _ _ _2_|,D
o_o_ _*_| _ _ _ _| _ _ _1_| _ _2_ _|,D
o_o_ _*_| _ _ _ _| _ _ _1_| _2_ _ _|,L
o_o_ _*_| _ _ _ _| _ _ _1_|2_ _ _ _|,D
o_o_ _*_| _ _ _ _| _ _ _2_| _ _ _1_|,D
o_o_ _*_| _ _ _ _| _ _ _2_| _ _1_ _|,L
o_o_ _*_| _ _ _ _| _ _ _2_| _1_ _ _|,D
o_o_ _*_| _ _ _ _| _ _ _2_|1_ _ _ _|,L
o_o_ _*_| _ _ _ _| _ _1_ _| _ _ _2_|,D
o_o_ _*_| _ _ _ _| _ _1_ _| _ _2_ _|,L
o_o_ _*_| _ _ _ _| _ _1_ _| _2_ _ _|,D
o_o_ _*_| _ _ _ _| _ _1_ _|2_ _ _ _|,D
o_o_ _*_| _ _ _ _| _ _1_2_| _ _ _ _|,D
o_o_ _*_| _ _ _ _| _ _2_ _| _ _ _1_|,D
o_o_ _*_| _ _ _ _| _ _2_ _| _ _1_ _|,D
o_o_ _*_| _ _ _ _| _ _2_ _| _1_ _ _|,D
o_o_ _*_| _ _ _ _| _ _2_ _|1_ _ _ _|,D
o_o_ _*_| _ _ _ _| _ _2_1_| _ _ _ _|,D
o_o_ _*_| _ _ _ _| _1_ _ _| _ _ _2_|,L
o_o_ _*_| _ _ _ _| _1_ _ _| _ _2_ _|,D
o_o_ _*_| _ _ _ _| _1_ _ _| _2_ _ _|,D
o_o_ _*_| _ _ _ _| _1_ _ _|2_ _ _ _|,L
o_o_ _*_| _ _ _ _| _1_ _2_| _ _ _ _|,D
o_o_ _*_| _ _ _ _| _1_2_ _| _ _ _ _|,D
o_o_ _*_| _ _ _ _| _2_ _ _| _ _ _1_|,D
o_o_ _*_| _ _ _ _| _2_ _ _| _ _1_ _|,L
o_o_ _*_| _ _ _ _| _2_ _ _| _1_ _ _|,D
o_o_ _*_| _ _ _ _| _2_ _ _|1_ _ _ _|,L
o_o_ _*_| _ _ _ _| _2_ _1_| _ _ _ _|,D
o_o_ _*_| _ _ _ _| _2_1_ _| _ _ _ _|,D
o_o_ _*_| _ _ _ _|1_ _ _ _| _ _ _2_|,L
o_o_ _*_| _ _ _ _|1_ _ _ _| _ _2_ _|,D
o_o_ _*_| _ _ _ _|1_ _ _ _| _2_ _ _|,D
o_o_ _*_| _ _ _ _|1_ _ _ _|2_ _ _ _|,L
